'#See Table B1   
#Spectroscopic redshift catalogue   
ID RA DEC Z_GRISM ZERR_GRISM Z_SPEC
1168 110.806643 -73.458258 2.2117 0.0009 2.211
1169 110.803694 -73.457471 0.9318 0.0002 0.9366
1173 110.832865 -73.457027 0.3838 0.0015 0.3869
1175 110.780234 -73.457012 0.3928 0.0009 ""
1183 110.759056 -73.455824 0.3816 0.0009 ""
1184 110.758263 -73.455102 1.9826 0.0006 ""
1186 110.842945 -73.454724 1.4502 0.0004 1.4503
1187 110.805116 -73.454697 "" "" 2.211
1199 110.822584 -73.452636 "" "" 1.4254
1200 110.823852 -73.451902 1.4358 0.0016 1.4254
1201 110.778688 -73.452663 0.3867 0.0019 ""
1205 110.772955 -73.450437 0.3905 0.001 ""
1215 110.805037 -73.449552 0.41 0.0012 0.4138
1216 110.79783 -73.4489 "" "" 1.163
1222 110.781808 -73.448411 1.799 0.0009 ""
1225 110.872152 -73.448065 0.4155 0.0007 ""
1226 110.81854 -73.446368 1.8684 0.0009 ""
1227 110.817051 -73.446337 1.869 0.0004 ""
1230 110.840414 -73.44355 0.3953 0.0019 ""
1233 110.828252 -73.443315 0.3888 0.004 ""
1245 110.838873 -73.440779 0.6988 0.0011 ""
1246 110.840709 -73.44072 0.3863 0.0016 ""
1249 110.814997 -73.440175 1.4957 0.0011 1.5075
3861 110.788652 -73.472292 0.7806 0.0012 ""
4155 110.795544 -73.470067 0.7953 0.0014 ""
4638 110.867406 -73.466332 1.0661 0.0008 ""
4932 110.803393 -73.463819 1.248 0.0005 ""
6300 110.762895 -73.453548 4.5557 0.0029 ""
6885 110.859351 -73.449163 "" "" 8.498
7261 110.839666 -73.44536 "" "" 6.383
7300 110.80646 -73.444975 2.7295 0.0005 ""
7352 110.844069 -73.444225 1.3706 0.0003 ""
7388 110.83723 -73.443793 1.5086 0.0011 ""
7911 110.844572 -73.435068 "" "" 7.665
7936 110.833999 -73.434526 "" "" 7.663
9528 110.840674 -73.441505 3.0807 0.0006 ""
10001 110.837011 -73.456594 0.3989 0.0015 0.398
10002 110.792751 -73.447702 0.3845 0.0003 ""
10003 110.845834 -73.451425 0.3868 0.0012 0.3847
10004 110.880115 -73.451425 1.3736 0.0005 ""
10005 110.875205 -73.457163 0.397 0.0009 ""
10006 110.856717 -73.44132 0.3942 0.0007 ""
10007 110.818702 -73.455299 0.3899 0.0007 0.3849
10008 110.818421 -73.45469 0.3946 0.0011 0.3909
10009 110.855211 -73.450278 0.3937 0.0012 0.3865
10010 110.825883 -73.458769 0.3949 0.0005 0.3888
20001 110.800758 -73.448608 "" "" 0.394
20002 110.825389 -73.454646 "" "" 0.3774
20003 110.826946 -73.454726 "" "" 0.3914
20004 110.840272 -73.455912 "" "" 0.3911
20005 110.837743 -73.456271 "" "" 0.3896
20006 110.853983 -73.45015 "" "" 0.3848
20007 110.794617 -73.449162 "" "" 5.171
20008 110.826593 -73.455058 "" "" 0.3915
